Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
School Environmental Health (Envision),School Environmental Health (Envision),Department of Health (AHS) / Division of Environmental Health,,http://healthvermont.gov/enviro/envision/documents/participation_survey_report_2013.pdf,David Grass,david.grass@state.vt.us,,Envision—Promoting Healthy School Environments was created by the Legislature in 2000 as part of the School Environmental Health Act (Act 125) to address these issues by providing model environmental health management plans and guidance for schools.,,,Survey,,2012-2013,,,,Aggregate data only,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Outcomes of Well-Being for Vermonters (Act 186 - Agency of Human Services) ,Outcomes of Well-Being for Vermonters (Act 186 - Agency of Human Services) ,Agency of Human Services / ,,https://app.resultsscorecard.com/Scorecard/Embed/8131,Drusilla Roessle,dru.roessle@state.vt.us,,Data and information about how all Vermonters are doing in relation to statewide indicators.  The population-level outcomes/results and indicators presented in this Scorecard were established in the 2014 Legislative Session.  AHS reports this information to the Legislature annually.,,,"Population
Clinical",,,,,,Aggregate data only,,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Agency of Human Services Indicators 2012-2015 ,Agency of Human Services Indicators 2012-2015 ,Agency of Human Services / ,,https://app.resultsscorecard.com/Scorecard/Embed/3614,Drusilla Roessle,dru.roessle@state.vt.us,,Contains data and information about how all Vermonters are doing in relation to statewide indicators.  The population-level outcomes/results and indicators presented in this Scorecard were established in the 2012-2015 AHS Strategic Plan. <br />,,,Population,,,,,,Aggregate data only,,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Dashboard 2.0,Dashboard 2.0,Green Mountain Care Board (GMCB) / ,,http://gmcboard.vermont.gov/dashboard2,Susan Barrett,susan.barrett@state.vt.us,,"Dashboard 2.0 currently includes 51 indicators grouped into twelve categories across the developmental lifespan, each defined by a health-related goal statement. For example, in ""Pregnant Women and Infants Thrive,"" indicators related to prenatal care, breastfeeding, and birth outcomes are included. The structure of the indicators is designed to enable readers to quickly identify areas of interest to them, based on their relevant stage of life or community perspective.",,"Blueprint for Health Analytics Dataset
Youth Risk Behavior Survey
Immunization Registry - IMR
Behavioral Risk Factor Surveillance System (BRFSS)","Surveillance
Population
Financial",,,,,,Aggregate data only,Public,"Report (PDF, Word)",,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Charlie Hofmann,,,,
Healthy Vermonters 2020 Performance Dashboard,Healthy Vermonters 2020 Performance Dashboard,Department of Health (AHS) / ,,http://healthvermont.gov/hv2020/dashboard/familyplanning.aspx,,,,"""How we are doing"" - The Performance Dashboard is built on the concepts of Results Based Accountability™ and displays current information to show: <br /><br />Population Indicators (such as smoking prevalence) are measures for which the Health Department, with state government and community partners, share responsibility for making change. All Healthy Vermonters 2020 indicators are displayed.<br />Performance Measures (such as the percentage of smokers registered with the Vermont Quit Network), are measures for which our programs are responsible for the performance of interventions - the things that, over time, will improve health - as reflected in the population indicators (such as reduced smoking prevalence).",,,Population,,,,,,Aggregate data only,Public,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Healthy Vermonters 2020 Map and Trends Atlas,Healthy Vermonters 2020 Map and Trends Atlas,Department of Health (AHS) / ,,http://healthvermont.gov/hv2020/IA/FamilyPlanning/County/atlas.html,,,,"Health Department routinely uses three ways to assess population indicators (such as smoking prevalence) at the local level: by county, by district office area, and by hospital service area (HSA). Maps & Trends links you to maps, tables and graphs for all Healthy Vermonters 2020 indicators and goals.",,,Population,,,,,,Aggregate data only,Public,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Barbara Patterson,,,,
"SIDS,SUID","SIDS,SUID",Department of Health (AHS) / Division of Maternal and Child Health,,http://www.healthvermont.gov/family/SUDI/index.aspx,Sally Kerschner,sally.kerschner@state.vt.us,,Infant name and parent contact information following an unexpected death of an infant.,,,Clinical,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Early Hearing Detection and Intervention (EHDI),Early Hearing Detection and Intervention (EHDI),Department of Health (AHS) / Division of Maternal and Child Health,,http://www.healthvermont.gov/family/hearing/index.aspx,Linda Hazard,linda.hazard@state.vt.us,,"VTEHDI works with hospitals and other community providers, such as early head start, homebirth midwives and primary care professionals to provide newborn and early periodic hearing screenings. The program provides support, training, and case management to families and their babies, and to community providers. These partnerships ensure timely referrals for diagnostic testing and early intervention services.",,,Youth,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Personal Care / Children With Special Health Needs (CSHN),Personal Care / Children With Special Health Needs (CSHN),Department of Health (AHS) / Division of Maternal and Child Health,,http://healthvermont.gov/family/cshn/cshn.aspx,Jennifer Garabedian,jennifer.garabedian@state.vt.us,,"Name, DOB, UID, Address, County, Authorization Level, Service start/end date, Requesting/Supplying Provider Number, Procedure Code, Status (i.e., active, cancelled, denied)<br />""Routinely<br />At the individual level: For reassessment purposes—indicates when someone is due for reassessment, when s/he ages out of service, available regional assessors, specific levels of service<br /><br />At the aggregate level:  provides financial  information to VDH, DVHA and AHS Central Office Business Offices<br /><br />Ad hoc: May be used as needed to meet specific information requests (e.g., for Legislature, IFS or other sister-department initiatives) or to meet programmatic needs/changes (e.g., ICD-conversion, mass mailings)    <br />""<br />",,,Clinical,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
VT Medication Assistance Program ,VT Medication Assistance Program ,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/prevent/aids/aids_index.aspx#Anchor-Th-57625,Robyn Airoldi,,,"The Vermont Medication Assistance Program provides financial assistance for the purchase of prescription medications to Vermonters living with HIV disease who meets certain income guidelines. If you are eligible, this program may help pay for your treatment drugs, insurance premiums, co-pays and/or deductibles.<br />data transfered to VMAP database, CAREWare  ",,,Financial,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Vermont Tick Tracker,Vermont Tick Tracker,Department of Health (AHS) / Division of Health Surveillance,,https://apps.health.vermont.gov/gis/vttracking/ticktracker/,,,,,,,Surveillance,,,,,,No access to data,,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
West Nile Virus Data (ArboNet),West Nile Virus Data (ArboNet),Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/prevent/arbovirus/surveillance/index.aspx#plan,Erica Berl,,,,,,Unknown,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Tuberculosis Data ,Tuberculosis Data ,Department of Health (AHS) / Division of Health Surveillance,,,Laura Ann Nicolai,,,"Demographic, clinical, and laboratory information, symptoms, exposure history, treatment<br />part of http://wwwn.cdc.gov/nndss/script/nedss.aspx",,,"Services Provided
Population
Clinical",,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Rabies (human exposures to animal cases),Rabies (human exposures to animal cases),Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/prevent/rabies/Rabies.aspx#wns,Robert H. Johnson,,,,,,Clinical,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Lyme Disease Data,Lyme Disease Data,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/prevent/lyme/surveillance_data.aspx#data,Erica Berl,,,,,,Surveillance,,2005 - Present,,,,Aggregate data only,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Healthcare Associated Infections (HAI),Healthcare Associated Infections (HAI),Department of Health (AHS) / Division of Health Surveillance,,http://www.healthvermont.gov/prevent/HAI/index.aspx,Carol Wood-Koob,,,http://wwwn.cdc.gov/nndss/script/nedss.aspx,,,Clinical,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
BioSense,BioSense,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/hc/documents/meaningful_use_biosense2_data_set_requirements.pdf,Bradley Tompkins,,,"BioSense application is a public health surveillance system that increases the ability of health officials at local, state, and national levels to efficiently, rapidly and collaboratively monitor and respond to harmful health effects of exposure to disease or hazardous conditions.<br /><br />BioSense provides public health officials a common electronic health information system with standardized tools and procedures for rapidly collecting, sharing, and evaluating information.<br /><br />With BioSense, health officials can exchange information faster, improve their common awareness of health threats over time and across regional boundaries, and better coordinate investigations and community actions to protect health.",,,Surveillance,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Project CRASH,Project CRASH,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,http://healthvermont.gov/adap/treatment/crash.aspx, Jerri Brouillette,jerri.brouillette@state.vt.us,," Client DMV records, full identifying information, CRASH Intake Assessment, Completion and Treatment Information Forms (in and out of state) <br /> Ad hoc, program compliance, annual report, billing, program planning",,,Services Provided,,,,,,No access to data,,No Access / No Publication,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Public Inebriate Program,Public Inebriate Program,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,http://healthvermont.gov/adap/treatment/PublicInebriate.aspx, Jackie Corbally,,,"At grantee level, summarized data provided to ADAP",,,Unknown,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
